split,seed,coverage,source_hidden,inferred_cycle_s,true_cycle_s,abs_error_s,abs_error_pct
test,5042,0.75,False,69.89020546525813,71.3751085779983,1.4849031127401702,2.080421511537845
test,5042,0.5,True,69.35196087666846,70.89159726242409,1.5396363857556281,2.171817881400323
test,5043,1.0,False,74.91547450709817,75.88632255755485,0.9708480504566808,1.2793452334185196
test,5043,0.75,False,75.08529052169712,76.88659502187379,1.8013045001766699,2.3428069609067865
test,5043,0.5,False,73.48690075985529,75.88632255755485,2.39942179769956,3.1618633198093824
test,5043,0.25,False,73.75236613825642,76.88659502187379,3.134228883617368,4.0764308560233395
test,5046,1.0,False,76.57690728794745,78.87982015105351,2.3029128631060587,2.9195209353875553
test,5046,0.75,True,76.7059486448435,82.90654517037864,6.200596525535133,7.479019313604833
test,5046,0.5,True,76.88621838379865,82.52094889145276,5.634730507654112,6.828242504901369
test,5048,0.75,False,61.46635434720956,68.23749138913354,6.7711370419239785,9.92289854753108
test,5051,1.0,False,72.73679969304285,73.03191847441589,0.29511878137303427,0.4040956167356038
test,5051,0.75,True,72.13799942110806,73.25357744841669,1.1155780273086293,1.5228990394280622
test,5051,0.5,True,72.13799942110806,73.25357744841669,1.1155780273086293,1.5228990394280622
test,5051,0.25,True,70.4742853487786,75.08432718780709,4.610041839028497,6.1398190696941075
test,5053,1.0,False,69.25939806249808,72.50506801387348,3.2456699513754046,4.4764732180574764
test,5053,0.75,True,71.06559315325818,73.71164909659706,2.6460559433388795,3.5897391738872875
test,5053,0.5,True,69.25939806249808,72.50506801387348,3.2456699513754046,4.4764732180574764
test,5054,1.0,False,70.19741003334833,71.71362523972479,1.516215206376458,2.1142637836367126
test,5055,0.75,False,64.00629939603047,67.21247003078288,3.206170634752411,4.770202067092617
test,5056,1.0,False,79.59677413234166,82.17269105364122,2.5759169212995516,3.134760330068816
test,5056,0.75,True,76.16710935322044,80.3185537463337,4.151444393113266,5.168724036322388
test,5056,0.5,True,76.9408649776,81.84483380347045,4.90396882587045,5.991787872214493
test,5058,1.0,False,72.21919792028542,76.50272035194094,4.283522431655513,5.599176620059676
test,5058,0.75,True,73.91682472087899,75.15418577717243,1.2373610562934374,1.6464299938823599
test,5066,1.0,False,68.63019430390801,74.02923797907387,5.399043675165856,7.293123396315418
test,5066,0.75,False,68.63019430390801,74.02923797907387,5.399043675165856,7.293123396315418
test,5066,0.5,False,68.82286058286215,74.02923797907387,5.206377396211721,7.032866389470912
test,5071,1.0,False,71.91493422169103,78.17343033580626,6.258496114115232,8.005912094724357
test,5073,1.0,False,75.3286624130531,76.90871681986273,1.5800544068096372,2.0544542571298843
test,5073,0.75,True,74.58548900359068,76.40305722825572,1.8175682246650382,2.378920805793171
test,5079,1.0,False,66.96991160712739,72.634185354416,5.664273747288618,7.798357921480072
test,5079,0.75,False,65.71587540485004,69.68522269318211,3.9693472883320737,5.696110502234828
test,5088,1.0,False,83.42713911134682,84.62031964239232,1.193180531045499,1.4100402079404937
test,5088,0.75,True,83.42713911134682,84.62031964239232,1.193180531045499,1.4100402079404937
test,5088,0.5,True,83.42713911134682,84.62031964239232,1.193180531045499,1.4100402079404937
