split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,0.1,70,0.08571428571428572,1.0,0.0,0.0,8.5,,0.0,0.0,0.0,33121.6191919645,
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.05,71,0.04225352112676056,1.0,0.0,0.0,9.0,,0.0,0.0,0.0,37329.14935726001,
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.1,71,0.11267605633802817,1.0,0.0,0.0,9.0,,0.0,0.0,0.07317073170731707,37029.793365640886,
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,0.05,71,0.04225352112676056,1.0,0.0,0.0,9.0,,0.0,0.0,0.0,37329.14935726001,
