split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate
tune,1004,0.5,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,39.99294167411538,1.0,149,0.0
tune,1004,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,39.987745614480566,1.0,149,0.0
tune,1004,0.5,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,5.012127239822025,1.0,149,0.0
tune,1004,0.5,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.40563520887847676,1.0,149,0.0
tune,1004,0.5,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7423023198141773,1.0,149,0.0
tune,1004,0.25,RippleTwin,QUALITY_DRIFT,True,12.206738048579876,23.87887940963418,1.0,149,0.04697986577181208
tune,1004,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,12.206738048579876,23.87066583332845,1.0,149,0.020134228187919462
tune,1004,0.25,B0_SPC_observed,QUALITY_DRIFT,True,12.206738048579876,4.674774997918179,1.0,149,0.0
tune,1004,0.25,B3_TurningPoint,QUALITY_DRIFT,True,12.206738048579876,0.39660743155955724,1.0,149,0.020134228187919462
tune,1004,0.25,B1_IsolationForest,QUALITY_DRIFT,True,12.206738048579876,0.7158774793615637,1.0,149,0.10067114093959731
tune,1005,1.0,RippleTwin,QUALITY_DRIFT,False,14.347927245440864,42.5638498837417,16.0,152,0.006578947368421052
tune,1005,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,14.347927245440864,42.5638498837417,16.0,152,0.006578947368421052
tune,1005,1.0,B0_SPC_observed,QUALITY_DRIFT,False,14.347927245440864,5.124273832797681,16.0,152,0.0
tune,1005,1.0,B3_TurningPoint,QUALITY_DRIFT,False,14.347927245440864,0.4108436123761012,16.0,152,0.006578947368421052
tune,1005,1.0,B1_IsolationForest,QUALITY_DRIFT,False,14.347927245440864,0.7784702529546166,16.0,152,0.0
tune,1005,0.75,RippleTwin,QUALITY_DRIFT,False,14.347927245440864,31.30364205825687,16.0,152,0.006578947368421052
tune,1005,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,14.347927245440864,31.30364205825687,16.0,152,0.006578947368421052
tune,1005,0.75,B0_SPC_observed,QUALITY_DRIFT,False,14.347927245440864,5.061702559429017,16.0,152,0.006578947368421052
tune,1005,0.75,B3_TurningPoint,QUALITY_DRIFT,False,14.347927245440864,0.41240313011539886,16.0,152,0.013157894736842105
tune,1005,0.75,B1_IsolationForest,QUALITY_DRIFT,False,14.347927245440864,0.7423023198141773,16.0,152,0.006578947368421052
tune,1005,0.5,RippleTwin,QUALITY_DRIFT,True,14.347927245440864,39.99294167411538,16.0,152,0.006578947368421052
tune,1005,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,14.347927245440864,39.987745614480566,16.0,152,0.006578947368421052
tune,1005,0.5,B0_SPC_observed,QUALITY_DRIFT,True,14.347927245440864,5.012127239822025,16.0,152,0.013157894736842105
tune,1005,0.5,B3_TurningPoint,QUALITY_DRIFT,True,14.347927245440864,0.40563520887847676,16.0,152,0.006578947368421052
tune,1005,0.5,B1_IsolationForest,QUALITY_DRIFT,True,14.347927245440864,0.7423023198141773,16.0,152,0.006578947368421052
tune,1005,0.25,RippleTwin,QUALITY_DRIFT,True,14.347927245440864,23.87887940963418,16.0,152,0.0
tune,1005,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,14.347927245440864,23.87066583332845,16.0,152,0.0
tune,1005,0.25,B0_SPC_observed,QUALITY_DRIFT,True,14.347927245440864,4.674774997918179,16.0,152,0.013157894736842105
tune,1005,0.25,B3_TurningPoint,QUALITY_DRIFT,True,14.347927245440864,0.39660743155955724,16.0,152,0.006578947368421052
tune,1005,0.25,B1_IsolationForest,QUALITY_DRIFT,True,14.347927245440864,0.7158774793615637,16.0,152,0.006578947368421052
tune,1006,1.0,RippleTwin,SLOWDOWN,False,1.3879286554113792,42.5638498837417,27.0,138,0.06521739130434782
tune,1006,1.0,B2_observed_only_twin,SLOWDOWN,False,1.3879286554113792,42.5638498837417,27.0,138,0.06521739130434782
tune,1006,1.0,B0_SPC_observed,SLOWDOWN,False,1.3879286554113792,5.124273832797681,27.0,138,0.07971014492753623
tune,1006,1.0,B3_TurningPoint,SLOWDOWN,False,1.3879286554113792,0.4108436123761012,27.0,138,0.0
tune,1006,1.0,B1_IsolationForest,SLOWDOWN,False,1.3879286554113792,0.7784702529546166,27.0,138,0.0
tune,1006,0.75,RippleTwin,SLOWDOWN,False,1.3879286554113792,31.30364205825687,27.0,138,0.07246376811594203
tune,1006,0.75,B2_observed_only_twin,SLOWDOWN,False,1.3879286554113792,31.30364205825687,27.0,138,0.07246376811594203
tune,1006,0.75,B0_SPC_observed,SLOWDOWN,False,1.3879286554113792,5.061702559429017,27.0,138,0.07971014492753623
tune,1006,0.75,B3_TurningPoint,SLOWDOWN,False,1.3879286554113792,0.41240313011539886,27.0,138,0.007246376811594203
tune,1006,0.75,B1_IsolationForest,SLOWDOWN,False,1.3879286554113792,0.7423023198141773,27.0,138,0.036231884057971016
tune,1006,0.5,RippleTwin,SLOWDOWN,False,1.3879286554113792,39.99294167411538,27.0,138,0.06521739130434782
tune,1006,0.5,B2_observed_only_twin,SLOWDOWN,False,1.3879286554113792,39.987745614480566,27.0,138,0.06521739130434782
tune,1006,0.5,B0_SPC_observed,SLOWDOWN,False,1.3879286554113792,5.012127239822025,27.0,138,0.07971014492753623
tune,1006,0.5,B3_TurningPoint,SLOWDOWN,False,1.3879286554113792,0.40563520887847676,27.0,138,0.021739130434782608
tune,1006,0.5,B1_IsolationForest,SLOWDOWN,False,1.3879286554113792,0.7423023198141773,27.0,138,0.036231884057971016
tune,1006,0.25,RippleTwin,SLOWDOWN,False,1.3879286554113792,23.87887940963418,27.0,138,0.07246376811594203
tune,1006,0.25,B2_observed_only_twin,SLOWDOWN,False,1.3879286554113792,23.87066583332845,27.0,138,0.07246376811594203
tune,1006,0.25,B0_SPC_observed,SLOWDOWN,False,1.3879286554113792,4.674774997918179,27.0,138,0.07971014492753623
tune,1006,0.25,B3_TurningPoint,SLOWDOWN,False,1.3879286554113792,0.39660743155955724,27.0,138,0.028985507246376812
tune,1006,0.25,B1_IsolationForest,SLOWDOWN,False,1.3879286554113792,0.7158774793615637,27.0,138,0.057971014492753624
tune,1007,1.0,RippleTwin,SLOWDOWN,False,1.3225338259901676,42.5638498837417,20.0,140,0.06428571428571428
tune,1007,1.0,B2_observed_only_twin,SLOWDOWN,False,1.3225338259901676,42.5638498837417,20.0,140,0.06428571428571428
tune,1007,1.0,B0_SPC_observed,SLOWDOWN,False,1.3225338259901676,5.124273832797681,20.0,140,0.07857142857142857
tune,1007,1.0,B3_TurningPoint,SLOWDOWN,False,1.3225338259901676,0.4108436123761012,20.0,140,0.0
tune,1007,1.0,B1_IsolationForest,SLOWDOWN,False,1.3225338259901676,0.7784702529546166,20.0,140,0.0
tune,1007,0.75,RippleTwin,SLOWDOWN,False,1.3225338259901676,31.30364205825687,20.0,140,0.06428571428571428
tune,1007,0.75,B2_observed_only_twin,SLOWDOWN,False,1.3225338259901676,31.30364205825687,20.0,140,0.06428571428571428
tune,1007,0.75,B0_SPC_observed,SLOWDOWN,False,1.3225338259901676,5.061702559429017,20.0,140,0.07857142857142857
tune,1007,0.75,B3_TurningPoint,SLOWDOWN,False,1.3225338259901676,0.41240313011539886,20.0,140,0.0
tune,1007,0.75,B1_IsolationForest,SLOWDOWN,False,1.3225338259901676,0.7423023198141773,20.0,140,0.08571428571428572
tune,1007,0.5,RippleTwin,SLOWDOWN,True,1.3225338259901676,39.99294167411538,20.0,140,0.0
tune,1007,0.5,B2_observed_only_twin,SLOWDOWN,True,1.3225338259901676,39.987745614480566,20.0,140,0.0
tune,1007,0.5,B0_SPC_observed,SLOWDOWN,True,1.3225338259901676,5.012127239822025,20.0,140,0.0
tune,1007,0.5,B3_TurningPoint,SLOWDOWN,True,1.3225338259901676,0.40563520887847676,20.0,140,0.0
tune,1007,0.5,B1_IsolationForest,SLOWDOWN,True,1.3225338259901676,0.7423023198141773,20.0,140,0.08571428571428572
tune,1007,0.25,RippleTwin,SLOWDOWN,True,1.3225338259901676,23.87887940963418,20.0,140,0.0
tune,1007,0.25,B2_observed_only_twin,SLOWDOWN,True,1.3225338259901676,23.87066583332845,20.0,140,0.0
tune,1007,0.25,B0_SPC_observed,SLOWDOWN,True,1.3225338259901676,4.674774997918179,20.0,140,0.007142857142857143
tune,1007,0.25,B3_TurningPoint,SLOWDOWN,True,1.3225338259901676,0.39660743155955724,20.0,140,0.007142857142857143
tune,1007,0.25,B1_IsolationForest,SLOWDOWN,True,1.3225338259901676,0.7158774793615637,20.0,140,0.0
test,5000,1.0,RippleTwin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,17.0,126,0.0
test,5000,1.0,B2_observed_only_twin,SLOWDOWN,False,1.1949660821520764,42.5638498837417,17.0,126,0.0
test,5000,1.0,B0_SPC_observed,SLOWDOWN,False,1.1949660821520764,5.124273832797681,17.0,126,0.007936507936507936
test,5000,1.0,B3_TurningPoint,SLOWDOWN,False,1.1949660821520764,0.4108436123761012,17.0,126,0.0
test,5000,1.0,B1_IsolationForest,SLOWDOWN,False,1.1949660821520764,0.7784702529546166,17.0,126,0.0
test,5000,0.75,RippleTwin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,17.0,126,0.0
test,5000,0.75,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,31.30364205825687,17.0,126,0.0
test,5000,0.75,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.061702559429017,17.0,126,0.007936507936507936
test,5000,0.75,B3_TurningPoint,SLOWDOWN,True,1.1949660821520764,0.41240313011539886,17.0,126,0.0
test,5000,0.75,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,17.0,126,0.031746031746031744
test,5000,0.5,RippleTwin,SLOWDOWN,True,1.1949660821520764,39.99294167411538,17.0,126,0.0
test,5000,0.5,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,39.987745614480566,17.0,126,0.0
test,5000,0.5,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,5.012127239822025,17.0,126,0.015873015873015872
test,5000,0.5,B3_TurningPoint,SLOWDOWN,True,1.1949660821520764,0.40563520887847676,17.0,126,0.023809523809523808
test,5000,0.5,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7423023198141773,17.0,126,0.007936507936507936
test,5000,0.25,RippleTwin,SLOWDOWN,True,1.1949660821520764,23.87887940963418,17.0,126,0.0
test,5000,0.25,B2_observed_only_twin,SLOWDOWN,True,1.1949660821520764,23.87066583332845,17.0,126,0.0
test,5000,0.25,B0_SPC_observed,SLOWDOWN,True,1.1949660821520764,4.674774997918179,17.0,126,0.0
test,5000,0.25,B3_TurningPoint,SLOWDOWN,True,1.1949660821520764,0.39660743155955724,17.0,126,0.0
test,5000,0.25,B1_IsolationForest,SLOWDOWN,True,1.1949660821520764,0.7158774793615637,17.0,126,0.0
test,5001,1.0,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,24.0,123,0.0
test,5001,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,42.5638498837417,24.0,123,0.0
test,5001,1.0,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.124273832797681,24.0,123,0.0
test,5001,1.0,B3_TurningPoint,QUALITY_DRIFT,False,13.6887759257169,0.4108436123761012,24.0,123,0.008130081300813009
test,5001,1.0,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7784702529546166,24.0,123,0.0
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,24.0,123,0.0
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,24.0,123,0.0
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,24.0,123,0.0
test,5001,0.75,B3_TurningPoint,QUALITY_DRIFT,False,13.6887759257169,0.41240313011539886,24.0,123,0.008130081300813009
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,24.0,123,0.04065040650406504
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,24.0,123,0.0
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,24.0,123,0.0
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,24.0,123,0.0
test,5001,0.5,B3_TurningPoint,QUALITY_DRIFT,True,13.6887759257169,0.40563520887847676,24.0,123,0.0
test,5001,0.5,B1_IsolationForest,QUALITY_DRIFT,True,13.6887759257169,0.7423023198141773,24.0,123,0.04065040650406504
test,5001,0.25,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,23.87887940963418,24.0,123,0.0
test,5001,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,23.87066583332845,24.0,123,0.0
test,5001,0.25,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,4.674774997918179,24.0,123,0.0
test,5001,0.25,B3_TurningPoint,QUALITY_DRIFT,True,13.6887759257169,0.39660743155955724,24.0,123,0.0
test,5001,0.25,B1_IsolationForest,QUALITY_DRIFT,True,13.6887759257169,0.7158774793615637,24.0,123,0.0
test,5002,1.0,RippleTwin,SLOWDOWN,False,1.2319251079170532,42.5638498837417,4.0,140,0.007142857142857143
test,5002,1.0,B2_observed_only_twin,SLOWDOWN,False,1.2319251079170532,42.5638498837417,4.0,140,0.007142857142857143
test,5002,1.0,B0_SPC_observed,SLOWDOWN,False,1.2319251079170532,5.124273832797681,4.0,140,0.014285714285714285
test,5002,1.0,B3_TurningPoint,SLOWDOWN,False,1.2319251079170532,0.4108436123761012,4.0,140,0.014285714285714285
test,5002,1.0,B1_IsolationForest,SLOWDOWN,False,1.2319251079170532,0.7784702529546166,4.0,140,0.0
test,5002,0.75,RippleTwin,SLOWDOWN,False,1.2319251079170532,31.30364205825687,4.0,140,0.007142857142857143
test,5002,0.75,B2_observed_only_twin,SLOWDOWN,False,1.2319251079170532,31.30364205825687,4.0,140,0.0
test,5002,0.75,B0_SPC_observed,SLOWDOWN,False,1.2319251079170532,5.061702559429017,4.0,140,0.014285714285714285
test,5002,0.75,B3_TurningPoint,SLOWDOWN,False,1.2319251079170532,0.41240313011539886,4.0,140,0.02142857142857143
