coverage,method,fault_kind,seed,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.75,B0_SPC_observed,QUALITY_DRIFT,5044.772727272727,0.6363636363636364,10.409278832833635,5.061702559429017,21.363636363636363,59.13636363636363,0.011586662045538466,0.3181818181818182,0.0,0.0,19.857142857142858,0.0,0.0,,44292.54797334188,,22
0.75,B0_SPC_observed,SLOWDOWN,5052.625,0.5625,1.3009738217451883,5.061702559429017,20.3125,54.5,0.3056450645601405,0.53125,0.8133031674208144,0.8133031674208144,2.176470588235294,0.4375,0.4375,194.39464594721957,26469.179986652995,23941.28051270282,32
0.75,B1_IsolationForest,COMBINED,5059.6875,0.5625,1.2556019473226767,0.7423023198141773,17.6875,58.5,0.20435471396161733,0.5,0.0,0.3229166666666667,3.0,0.0,0.1875,486.23536965818306,29069.60205334315,22317.75402708315,16
0.75,B1_IsolationForest,MICROSTOP_BURST,5064.125,0.625,8.500896383126522,0.7423023198141773,17.875,57.5,0.01906019656019656,0.375,0.0,0.0,11.666666666666666,0.0,0.0,,34846.376728073905,,8
0.75,B1_IsolationForest,QUALITY_DRIFT,5044.772727272727,0.6363636363636364,10.409278832833635,0.7423023198141773,21.363636363636363,59.13636363636363,0.004722985194613787,0.09090909090909091,0.0,0.0,15.0,0.0,0.0,,24267.02632541375,,22
0.75,B1_IsolationForest,SLOWDOWN,5052.625,0.5625,1.3009738217451883,0.7423023198141773,20.3125,54.5,0.2405170333264435,0.65625,0.0,0.21090733590733593,5.619047619047619,0.0,0.15625,270.601301802576,29748.692721005616,20966.94120615837,32
0.75,B2_observed_only_twin,COMBINED,5059.6875,0.5625,1.2556019473226767,31.30364205825687,17.6875,58.5,0.3986358219304327,0.75,0.5,0.8452380952380952,2.0,0.375,0.625,209.7742320173315,31042.80741854988,33715.65708378257,16
0.75,B2_observed_only_twin,MICROSTOP_BURST,5064.125,0.625,8.500896383126522,31.30364205825687,17.875,57.5,0.0199191063174114,0.375,0.0,0.16666666666666666,9.166666666666666,0.0,0.125,,33435.2700736509,,8
0.75,B2_observed_only_twin,QUALITY_DRIFT,5044.772727272727,0.6363636363636364,10.409278832833635,31.30364205825687,21.363636363636363,59.13636363636363,0.011399909606158084,0.2727272727272727,0.0,0.0,20.5,0.0,0.0,,38864.654652252044,,22
0.75,B2_observed_only_twin,SLOWDOWN,5052.625,0.5625,1.3009738217451883,31.30364205825687,20.3125,54.5,0.4674340468311952,0.84375,0.44079326645912603,0.8655968579293841,1.3888888888888888,0.375,0.75,182.98398346116716,28611.192856123318,26006.995277846356,32
0.75,B3_TurningPoint,COMBINED,5059.6875,0.5625,1.2556019473226767,0.41240313011539886,17.6875,58.5,0.16756391031663592,0.5,0.0,0.5,5.5,0.0,0.25,,32597.3996805704,,16
0.75,B3_TurningPoint,MICROSTOP_BURST,5064.125,0.625,8.500896383126522,0.41240313011539886,17.875,57.5,0.02043421503167266,0.375,0.0,0.0,14.666666666666666,0.0,0.0,,33219.994058937016,,8
0.75,B3_TurningPoint,QUALITY_DRIFT,5044.772727272727,0.6363636363636364,10.409278832833635,0.4124031301153988,21.363636363636363,59.13636363636363,0.008762430661506162,0.2727272727272727,0.0,0.0,18.5,0.0,0.0,,36068.93813923347,,22
0.75,B3_TurningPoint,SLOWDOWN,5052.625,0.5625,1.3009738217451883,0.41240313011539886,20.3125,54.5,0.3006058467378719,0.65625,0.18207282913165265,0.6972243442831678,3.4761904761904763,0.125,0.46875,182.5066204822054,28239.438062556514,25136.898451997688,32
0.75,RippleTwin,COMBINED,5059.6875,0.5625,1.2556019473226767,31.30364205825687,17.6875,58.5,0.4080929044820274,0.75,0.8425925925925926,0.8611111111111112,1.6666666666666667,0.625,0.625,213.06747509683558,30968.984104981148,33518.062499012325,16
0.75,RippleTwin,MICROSTOP_BURST,5064.125,0.625,8.500896383126522,31.30364205825687,17.875,57.5,0.024156394453004625,0.375,0.08333333333333333,0.16666666666666666,9.166666666666666,0.0,0.0,,29431.935108441117,,8
0.75,RippleTwin,QUALITY_DRIFT,5044.772727272727,0.6363636363636364,10.409278832833635,31.30364205825687,21.363636363636363,59.13636363636363,0.01294074165546471,0.2727272727272727,0.0,0.0,21.166666666666668,0.0,0.0,,37119.80663814225,,22
0.75,RippleTwin,SLOWDOWN,5052.625,0.5625,1.3009738217451883,31.30364205825687,20.3125,54.5,0.47627745422098927,0.875,0.7984140113985273,0.8421629492651121,1.0357142857142858,0.71875,0.75,192.84996706862856,28354.131706443208,26444.562993770316,32
1.0,B0_SPC_observed,COMBINED,5059.6875,0.0,1.2556019473226767,5.124273832797681,17.6875,58.5,0.6289535771862007,1.0,0.9931896551724138,0.9931896551724138,0.0,1.0,1.0,334.76417789324614,29210.810906516384,26216.260331227695,16
1.0,B0_SPC_observed,MICROSTOP_BURST,5064.125,0.0,8.500896383126522,5.124273832797681,17.875,57.5,0.018460466736328805,0.375,0.5555555555555555,0.5555555555555555,7.5,0.25,0.25,,41617.65219058593,,8
1.0,B0_SPC_observed,QUALITY_DRIFT,5044.772727272727,0.0,10.409278832833635,5.124273832797681,21.363636363636363,59.13636363636363,0.00991819162706805,0.2727272727272727,0.0,0.0,20.833333333333332,0.0,0.0,,45577.674785825686,,22
1.0,B0_SPC_observed,SLOWDOWN,5052.625,0.0,1.3009738217451883,5.124273832797681,20.3125,54.5,0.6514516878341265,1.0,0.9910897435897436,0.9910897435897436,0.0,1.0,1.0,207.2640892788421,26630.50779118036,25185.951448298103,32
1.0,B1_IsolationForest,COMBINED,5059.6875,0.0,1.2556019473226767,0.7784702529546166,17.6875,58.5,0.013679514341590614,0.1875,0.0,0.0,4.333333333333333,0.0,0.0,,33215.11146578225,,16
1.0,B1_IsolationForest,MICROSTOP_BURST,5064.125,0.0,8.500896383126522,0.7784702529546166,17.875,57.5,0.0,0.0,,,,0.0,0.0,,,,8
1.0,B1_IsolationForest,QUALITY_DRIFT,5044.772727272727,0.0,10.409278832833635,0.7784702529546166,21.363636363636363,59.13636363636363,0.0029644268774703555,0.045454545454545456,0.0,0.0,23.0,0.0,0.0,,27121.22000907785,,22
1.0,B1_IsolationForest,SLOWDOWN,5052.625,0.0,1.3009738217451883,0.7784702529546166,20.3125,54.5,0.017544372839861752,0.09375,0.0,0.0,5.0,0.0,0.0,,26920.392139551015,,32
1.0,B2_observed_only_twin,COMBINED,5059.6875,0.0,1.2556019473226767,42.5638498837417,17.6875,58.5,0.4473348415147645,0.8125,0.9487179487179488,0.9487179487179488,1.2307692307692308,0.75,0.75,274.732818502273,30374.08811672106,29818.141894686083,16
1.0,B2_observed_only_twin,MICROSTOP_BURST,5064.125,0.0,8.500896383126522,42.5638498837417,17.875,57.5,0.01981552816298579,0.5,0.25,0.25,10.5,0.125,0.125,,31553.853105677805,,8
1.0,B2_observed_only_twin,QUALITY_DRIFT,5044.772727272727,0.0,10.409278832833635,42.5638498837417,21.363636363636363,59.13636363636363,0.015265121820753968,0.2727272727272727,0.0,0.0,20.666666666666668,0.0,0.0,,37566.594921679716,,22
1.0,B2_observed_only_twin,SLOWDOWN,5052.625,0.0,1.3009738217451883,42.5638498837417,20.3125,54.5,0.5244527205127827,0.90625,0.9180117388114454,0.9266324284666179,0.7931034482758621,0.84375,0.84375,224.72813618155874,27938.902547531503,24531.872846994505,32
1.0,B3_TurningPoint,COMBINED,5059.6875,0.0,1.2556019473226767,0.4108436123761012,17.6875,58.5,0.027186213268892263,0.3125,0.2,0.2,12.0,0.0625,0.0625,,38445.983202694,,16
1.0,B3_TurningPoint,MICROSTOP_BURST,5064.125,0.0,8.500896383126522,0.4108436123761012,17.875,57.5,0.018315570963876048,0.375,0.0,0.0,14.333333333333334,0.0,0.0,,37123.27044290107,,8
1.0,B3_TurningPoint,QUALITY_DRIFT,5044.772727272727,0.0,10.409278832833635,0.4108436123761012,21.363636363636363,59.13636363636363,0.008222634667164714,0.22727272727272727,0.0,0.0,17.6,0.0,0.0,,34858.23914263302,,22
1.0,B3_TurningPoint,SLOWDOWN,5052.625,0.0,1.3009738217451883,0.4108436123761012,20.3125,54.5,0.08374551333956601,0.46875,0.43444444444444447,0.5556565656565657,5.2,0.21875,0.28125,168.76133037036854,28224.240483790854,26860.354463294272,32
1.0,RippleTwin,COMBINED,5059.6875,0.0,1.2556019473226767,42.5638498837417,17.6875,58.5,0.4473348415147645,0.8125,0.9487179487179488,0.9487179487179488,1.2307692307692308,0.75,0.75,274.732818502273,30374.08811672106,29818.141894686083,16
1.0,RippleTwin,MICROSTOP_BURST,5064.125,0.0,8.500896383126522,42.5638498837417,17.875,57.5,0.01981552816298579,0.5,0.25,0.25,10.5,0.125,0.125,,31553.853105677805,,8
1.0,RippleTwin,QUALITY_DRIFT,5044.772727272727,0.0,10.409278832833635,42.5638498837417,21.363636363636363,59.13636363636363,0.015265121820753968,0.2727272727272727,0.0,0.0,20.666666666666668,0.0,0.0,,37566.594921679716,,22
1.0,RippleTwin,SLOWDOWN,5052.625,0.0,1.3009738217451883,42.5638498837417,20.3125,54.5,0.5244527205127827,0.90625,0.9180117388114454,0.9266324284666179,0.7931034482758621,0.84375,0.84375,224.72813618155874,27938.902547531503,24531.872846994505,32
